Site,Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
LAG,6,taraxa,12,0.009592326,2.1972,1,3.2712,4,0.2304,0
LAG,6,THYMUVU,4,0.003197442,0.7324,0,1.0904,0,0.0768,0
LAG,6,torilis,1,0.000799361,0.1831,1,0.2726,0,0.0192,0
LAG,6,trigomon,1,0.000799361,0.1831,1,0.2726,0,0.0192,0
LAG,6,xeran,6,0.004796163,1.0986,0,1.6356,3,0.1152,0
MAUn,1,aegg,1,0.0008,0.3016,1,0.212,1,0.0624,0
MAUn,1,anacyclu,3,0.0024,0.9048,0,0.636,2,0.1872,0
MAUn,1,ANAGA,1,0.0008,0.3016,0,0.212,1,0.0624,0
MAUn,1,anual,5,0.004,1.508,1,1.06,1,0.312,0
MAUn,1,ARTIBA,377,0.3016,NA,NA,79.924,38,23.5248,13
MAUn,1,ASPH,15,0.012,4.524,2,3.18,1,0.936,1
MAUn,1,ASTER,3,0.0024,0.9048,1,0.636,3,0.1872,0
MAUn,1,ASTRAG,29,0.0232,8.7464,9,6.148,2,1.8096,2
MAUn,1,BRADI,5,0.004,1.508,0,1.06,0,0.312,0
MAUn,1,BRORU,25,0.02,7.54,9,5.3,7,1.56,4
MAUn,1,BUPLEU,6,0.0048,1.8096,0,1.272,1,0.3744,1
MAUn,1,cabu,1,0.0008,0.3016,0,0.212,1,0.0624,0
MAUn,1,conv,5,0.004,1.508,0,1.06,0,0.312,0
MAUn,1,DACT,132,0.1056,39.8112,43,27.984,35,8.2368,18
MAUn,1,desma,4,0.0032,1.2064,1,0.848,2,0.2496,0
MAUn,1,DIPLO,1,0.0008,0.3016,0,0.212,0,0.0624,0
MAUn,1,elyrep,3,0.0024,0.9048,0,0.636,0,0.1872,0
MAUn,1,euphe,7,0.0056,2.1112,1,1.484,3,0.4368,1
MAUn,1,FILAGO,7,0.0056,2.1112,0,1.484,1,0.4368,0
MAUn,1,GALIVE,16,0.0128,4.8256,1,3.392,9,0.9984,4
MAUn,1,geranium,2,0.0016,0.6032,0,0.424,0,0.1248,0
MAUn,1,HEDISA,1,0.0008,0.3016,0,0.212,0,0.0624,0
MAUn,1,HELISA,6,0.0048,1.8096,0,1.272,2,0.3744,0
MAUn,1,HORDEUM,1,0.0008,0.3016,0,0.212,0,0.0624,0
MAUn,1,HYP,3,0.0024,0.9048,0,0.636,2,0.1872,0
MAUn,1,LINU,16,0.0128,4.8256,2,3.392,7,0.9984,4
MAUn,1,LOPE,1,0.0008,0.3016,0,0.212,0,0.0624,0
MAUn,1,lygi,265,0.212,79.924,39,NA,NA,16.536,15
MAUn,1,MATIOLA,2,0.0016,0.6032,0,0.424,0,0.1248,1
MAUn,1,MEDI,7,0.0056,2.1112,2,1.484,2,0.4368,1
MAUn,1,NEATOS,1,0.0008,0.3016,1,0.212,0,0.0624,0
MAUn,1,phalaris,13,0.0104,3.9208,7,2.756,3,0.8112,1
MAUn,1,PLAFRA,22,0.0176,6.6352,6,4.664,9,1.3728,1
MAUn,1,PLAL,26,0.0208,7.8416,6,5.512,9,1.6224,2
MAUn,1,plalag,1,0.0008,0.3016,0,0.212,1,0.0624,1
MAUn,1,save,78,0.0624,23.5248,13,16.536,15,NA,NA
MAUn,1,sonchus,8,0.0064,2.4128,2,1.696,5,0.4992,1
MAUn,1,STIPAR,44,0.0352,13.2704,19,9.328,2,2.7456,3
MAUn,1,SUAEDA,26,0.0208,7.8416,5,5.512,2,1.6224,1
MAUn,1,trigomon,11,0.0088,3.3176,5,2.332,2,0.6864,2
MAUn,2,anual,3,0.002398082,0.801,1,0.024,0,0.4365,0
MAUn,2,ARTIBA,334,0.266986411,NA,NA,2.672,2,48.597,31
MAUn,2,ASPH,21,0.016786571,5.607,7,0.168,0,3.0555,2
MAUn,2,ASTRAG,50,0.039968026,13.35,12,0.4,0,7.275,9
MAUn,2,atract,1,0.000799361,0.267,1,0.008,0,0.1455,1
MAUn,2,BRADI,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,BRORU,34,0.027178257,9.078,12,0.272,0,4.947,9
MAUn,2,BUPLEU,22,0.017585931,5.874,6,0.176,1,3.201,9
MAUn,2,DACT,48,0.038369305,12.816,22,0.384,1,6.984,16
MAUn,2,desma,3,0.002398082,0.801,0,0.024,0,0.4365,2
MAUn,2,DIPLO,1,0.000799361,0.267,0,0.008,0,0.1455,1
MAUn,2,eryca,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,FILAGO,24,0.019184652,6.408,2,0.192,0,3.492,5
MAUn,2,GALIVE,11,0.008792966,2.937,3,0.088,0,1.6005,3
MAUn,2,HORDEUM,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,HYP,2,0.001598721,0.534,1,0.016,0,0.291,0
MAUn,2,LALA,2,0.001598721,0.534,0,0.016,0,0.291,0
MAUn,2,LINU,1,0.000799361,0.267,1,0.008,0,0.1455,0
MAUn,2,lygi,10,0.007993605,2.67,2,NA,NA,1.455,1
MAUn,2,NEATOS,4,0.003197442,1.068,1,0.032,0,0.582,0
MAUn,2,phalaris,17,0.013589129,4.539,5,0.136,0,2.4735,6
MAUn,2,PLAFRA,42,0.033573141,11.214,8,0.336,0,6.111,10
MAUn,2,PLAL,25,0.019984013,6.675,3,0.2,0,3.6375,4
MAUn,2,plalag,1,0.000799361,0.267,1,0.008,0,0.1455,0
MAUn,2,SAGE,1,0.000799361,0.267,1,0.008,0,0.1455,0
MAUn,2,save,182,0.145483613,48.594,31,1.456,1,NA,NA
MAUn,2,sonchus,1,0.000799361,0.267,0,0.008,0,0.1455,0
MAUn,2,STIPAR,42,0.033573141,11.214,23,0.336,1,6.111,4
MAUn,2,SUAEDA,6,0.004796163,1.602,1,0.048,0,0.873,0
MAUn,2,trigomon,8,0.006394884,2.136,6,0.064,0,1.164,1
MAUn,3,ARTIBA,350,0.28,NA,NA,24.92,8,29.4,12
MAUn,3,ASPH,21,0.0168,5.88,7,1.4952,1,1.764,6
MAUn,3,ASTRAG,33,0.0264,9.24,5,2.3496,2,2.772,3
MAUn,3,BRADI,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,BRARE,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,BRORU,28,0.0224,7.84,2,1.9936,5,2.352,8
MAUn,3,BUPLEU,21,0.0168,5.88,0,1.4952,4,1.764,4
MAUn,3,conv,4,0.0032,1.12,3,0.2848,0,0.336,0
MAUn,3,DACT,60,0.048,16.8,17,4.272,5,5.04,9
MAUn,3,DESMA,9,0.0072,2.52,2,0.6408,0,0.756,3
MAUn,3,DIPLO,5,0.004,1.4,1,0.356,1,0.42,1
MAUn,3,erodiun,2,0.0016,0.56,1,0.1424,0,0.168,1
MAUn,3,eryca,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,FILAGO,10,0.008,2.8,2,0.712,0,0.84,0
MAUn,3,GALIVE,20,0.016,5.6,4,1.424,4,1.68,2
MAUn,3,HELISA,3,0.0024,0.84,0,0.2136,0,0.252,1
MAUn,3,HORDEUM,12,0.0096,3.36,1,0.8544,0,1.008,7
MAUn,3,HYP,1,0.0008,0.28,0,0.0712,1,0.084,0
MAUn,3,limonium,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,LINU,13,0.0104,3.64,4,0.9256,2,1.092,1
MAUn,3,lygi,89,0.0712,24.92,8,NA,NA,7.476,5
MAUn,3,MEDILIT,7,0.0056,1.96,3,0.4984,1,0.588,0
MAUn,3,NEATOS,3,0.0024,0.84,1,0.2136,0,0.252,1
MAUn,3,phalaris,22,0.0176,6.16,7,1.5664,0,1.848,5
MAUn,3,PLAFRA,23,0.0184,6.44,6,1.6376,3,1.932,3
MAUn,3,PLAL,1,0.0008,0.28,0,0.0712,0,0.084,0
MAUn,3,plalag,5,0.004,1.4,0,0.356,0,0.42,1
MAUn,3,save,105,0.084,29.4,12,7.476,5,NA,NA
MAUn,3,SEDU,5,0.004,1.4,3,0.356,1,0.42,0
MAUn,3,silenoc,1,0.0008,0.28,1,0.0712,0,0.084,0
MAUn,3,sonchus,1,0.0008,0.28,0,0.0712,1,0.084,0
MAUn,3,STIPALAG,3,0.0024,0.84,0,0.2136,0,0.252,0
MAUn,3,STIPAR,150,0.12,42,39,10.68,0,12.6,9
MAUn,3,SUAEDA,29,0.0232,8.12,4,2.0648,4,2.436,0
MAUn,3,trigomon,13,0.0104,3.64,3,0.9256,1,1.092,2
MAUn,4,ARTIBA,327,0.261390887,NA,NA,1.308,2,65.8578,34
MAUn,4,ASPH,10,0.007993605,2.614,2,0.04,0,2.014,2
MAUn,4,ASTRAG,71,0.056754596,18.5594,10,0.284,0,14.2994,20
MAUn,4,BRORU,11,0.008792966,2.8754,1,0.044,1,2.2154,7
MAUn,4,BUPLEU,55,0.043964828,14.377,0,0.22,0,11.077,22
MAUn,4,compu,1,0.000799361,0.2614,1,0.004,0,0.2014,0
MAUn,4,DACT,63,0.050359712,16.4682,19,0.252,0,12.6882,25
MAUn,4,DESMA,7,0.005595524,1.8298,3,0.028,0,1.4098,0
MAUn,4,DIPLO,9,0.007194245,2.3526,2,0.036,0,1.8126,6
MAUn,4,erodiun,1,0.000799361,0.2614,0,0.004,0,0.2014,0
MAUn,4,FILAGO,27,0.021582734,7.0578,4,0.108,0,5.4378,14
MAUn,4,GALIVE,4,0.003197442,1.0456,1,0.016,0,0.8056,2
